Year,Day,Hour,Minute,proton_density,proton_speed
2012,1,0,0,8.204,382.38
2012,1,0,12,8.308,380.92
2012,1,0,24,8.835,382.09
2012,1,0,36,9.481,382.58
2012,1,0,48,9.081,378.58
2012,1,1,0,8.084,383.95
2012,1,1,12,7.121,380.11
2012,1,1,24,7.296,379.45
2012,1,1,36,7.341,381.02
2012,1,1,48,7.753,377.98
2012,1,2,0,7.954,370.49
2012,1,2,12,7.638,368.93
2012,1,2,24,6.698,367.16
2012,1,2,36,7.532,376.86
2012,1,2,48,7.431,377.44
2012,1,3,0,7.61,369.36
2012,1,3,12,6.96,366.85
2012,1,3,24,7.25,368.63
2012,1,3,36,7.457,374.78
2012,1,3,48,7.909,373.23
2012,1,4,0,7.665,372.01
2012,1,4,12,7.728,371.43
2012,1,4,24,7.253,370.63
2012,1,4,36,6.906,368.98
2012,1,4,48,7.147,367.42
2012,1,5,0,7.303,366.55
2012,1,5,12,7.534,366.53
2012,1,5,24,7.402,363.36
2012,1,5,36,6.461,366.58
2012,1,5,48,6.354,365.89
2012,1,6,0,6.388,363.83
2012,1,6,12,6.739,364.02
2012,1,6,24,7.416,368.95
2012,1,6,36,7.653,368.11
2012,1,6,48,8.097,366.22
2012,1,7,0,8.071,365.34
2012,1,7,12,7.437,363.26
2012,1,7,24,5.801,364.68
2012,1,7,36,5.894,369.54
2012,1,7,48,6.846,371.1
2012,1,8,0,6.463,362.27
2012,1,8,12,6.147,355.99
2012,1,8,24,6.386,367.87
2012,1,8,36,6.087,369.77
2012,1,8,48,6.521,362.48
2012,1,9,0,5.507,362.8
2012,1,9,12,4.094,370.43
2012,1,9,24,5.68,357.07
2012,1,9,36,5.413,357.92
2012,1,9,48,4.264,369.27
2012,1,10,0,4.01,367.34
2012,1,10,12,3.991,366.43
2012,1,10,24,3.943,365.94
2012,1,10,36,4.539,362.94
2012,1,10,48,5.016,361.75
2012,1,11,0,4.819,359.76
2012,1,11,12,4.847,357.86
2012,1,11,24,5.061,359.42
2012,1,11,36,5.442,361.41
2012,1,11,48,5.526,359.98
2012,1,12,0,5.43,359.38
2012,1,12,12,5.703,360.61
2012,1,12,24,5.672,360.36
2012,1,12,36,5.62,360.92
2012,1,12,48,5.678,361.61
2012,1,13,0,5.741,360.1
2012,1,13,12,5.988,358.78
2012,1,13,24,6.018,357.99
2012,1,13,36,6.249,358.23
2012,1,13,48,6.49,355.55
2012,1,14,0,6.206,353.96
2012,1,14,12,6.209,352.51
2012,1,14,24,6.058,351.67
2012,1,14,36,5.943,350.11
2012,1,14,48,6.066,348.81
2012,1,15,0,5.796,348.01
2012,1,15,12,5.806,348.38
2012,1,15,24,5.763,347.78
2012,1,15,36,5.681,347.24
2012,1,15,48,5.637,347.29
2012,1,16,0,5.663,346.5
2012,1,16,12,5.601,347.93
2012,1,16,24,5.677,351.06
2012,1,16,36,5.607,357.17
2012,1,16,48,5.883,364.3
2012,1,17,0,5.662,368.37
2012,1,17,12,5.81,370.24
2012,1,17,24,5.946,367.68
2012,1,17,36,5.568,371.33
2012,1,17,48,6.202,364.03
2012,1,18,0,5.849,369.28
2012,1,18,12,5.349,371.38
2012,1,18,24,5.272,374.86
2012,1,18,36,5.733,365.84
2012,1,18,48,6.184,363.48
2012,1,19,0,6.174,360.78
2012,1,19,12,6.004,359.21
2012,1,19,24,6.426,358.84
2012,1,19,36,6.507,359.94
2012,1,19,48,6.896,358.68
2012,1,20,0,6.786,359.39
2012,1,20,12,6.754,359.62
2012,1,20,24,6.886,360.65
2012,1,20,36,6.558,360.93
2012,1,20,48,6.924,361.94
2012,1,21,0,6.799,361.97
2012,1,21,12,6.447,360.45
2012,1,21,24,5.901,360.05
2012,1,21,36,5.872,359.17
2012,1,21,48,6.614,361.27
2012,1,22,0,6.715,360.57
2012,1,22,12,6.52,361.91
2012,1,22,24,5.761,363.3
2012,1,22,36,5.772,365.79
2012,1,22,48,5.63,361.86
2012,1,23,0,5.582,360.93
2012,1,23,12,5.349,360.86
2012,1,23,24,5.56,362.6
2012,1,23,36,5.377,360.88
2012,1,23,48,5.571,358.62
2012,2,0,0,5.338,358.9
2012,2,0,12,5.225,356.24
2012,2,0,24,5.284,358.32
2012,2,0,36,5.048,356.87
2012,2,0,48,5.283,359.95
2012,2,1,0,7.567,376.95
2012,2,1,12,7.518,370.88
2012,2,1,24,8.362,371.76
2012,2,1,36,8.479,369.44
2012,2,1,48,8.541,369.19
2012,2,2,0,8.466,369.39
2012,2,2,12,8.325,365.5
2012,2,2,24,8.539,364.31
2012,2,2,36,8.085,358.57
2012,2,2,48,7.042,353.02
2012,2,3,0,7.065,351.52
2012,2,3,12,6.801,349.31
2012,2,3,24,6.837,350.91
2012,2,3,36,6.632,354.85
2012,2,3,48,6.569,353.86
2012,2,4,0,6.803,354.08
2012,2,4,12,6.942,355.16
2012,2,4,24,6.711,353.65
2012,2,4,36,6.859,350.92
2012,2,4,48,6.293,346.61
2012,2,5,0,5.98,344.15
2012,2,5,12,5.997,346.44
2012,2,5,24,6.277,346.08
2012,2,5,36,6.543,349.91
2012,2,5,48,7.014,350.9
2012,2,6,0,7.071,352.71
