Year,Day,Hour,Minute,proton_density,proton_speed
2016,1,0,0,2.009,458.19
2016,1,0,12,1.349,447.62
2016,1,0,24,0.796,455.03
2016,1,0,36,0.794,454.12
2016,1,0,48,0.654,447.56
2016,1,1,0,0.652,449.52
2016,1,1,12,0.67,446.31
2016,1,1,24,1.059,444.62
2016,1,1,36,1.485,448.73
2016,1,1,48,1.583,448.93
2016,1,2,0,1.906,440.15
2016,1,2,12,1.689,431.96
2016,1,2,24,1.397,424.72
2016,1,2,36,1.342,424.33
2016,1,2,48,1.321,425.1
2016,1,3,0,1.002,425.58
2016,1,3,12,1.123,425.71
2016,1,3,24,0.691,426.69
2016,1,3,36,0.801,430.33
2016,1,3,48,0.804,429.76
2016,1,4,0,0.712,427.33
2016,1,4,12,0.665,423.68
2016,1,4,24,1.477,426.92
2016,1,4,36,2.005,426.46
2016,1,4,48,2.764,431.48
2016,1,5,0,2.642,436.41
2016,1,5,12,3.067,439.32
2016,1,5,24,2.961,440.37
2016,1,5,36,2.077,438.8
2016,1,5,48,1.69,445.76
2016,1,6,0,1.799,437.92
2016,1,6,12,2.122,434.32
2016,1,6,24,1.84,428.14
2016,1,6,36,1.221,424.82
2016,1,6,48,0.836,426.93
2016,1,7,0,0.805,430.54
2016,1,7,12,0.805,423.28
2016,1,7,24,0.837,421.95
2016,1,7,36,0.995,425.76
2016,1,7,48,1.267,436.56
2016,1,8,0,1.011,435.89
2016,1,8,12,1.134,438.5
2016,1,8,24,2.196,435.02
2016,1,8,36,1.076,443.96
2016,1,8,48,0.769,429.23
2016,1,9,0,0.681,428.46
2016,1,9,12,1.045,417.89
2016,1,9,24,1.008,435.29
2016,1,9,36,1.153,441.18
2016,1,9,48,1.068,430.72
2016,1,10,0,1.137,449.25
2016,1,10,12,0.687,409.59
2016,1,10,24,1.053,441.09
2016,1,10,36,1.192,416.11
2016,1,10,48,0.95,411.47
2016,1,11,0,3.1,407.29
2016,1,11,12,3.967,402.07
2016,1,11,24,3.207,407.63
2016,1,11,36,2.246,412.98
2016,1,11,48,2.714,412.07
2016,1,12,0,2.133,399.08
2016,1,12,12,1.163,413.47
2016,1,12,24,1.407,415.15
2016,1,12,36,1.593,419.3
2016,1,12,48,1.495,404.38
2016,1,13,0,1.287,409.08
2016,1,13,12,0.872,407.55
2016,1,13,24,1.162,414.13
2016,1,13,36,1.256,418.57
2016,1,13,48,1.382,419.58
2016,1,14,0,1.568,416.68
2016,1,14,12,2.045,415.17
2016,1,14,24,1.587,415.21
2016,1,14,36,1.801,416.76
2016,1,14,48,2.693,417.19
2016,1,15,0,1.889,419.8
2016,1,15,12,1.86,418.93
2016,1,15,24,1.729,418.7
2016,1,15,36,1.522,421.67
2016,1,15,48,1.839,432.51
2016,1,16,0,1.959,423.75
2016,1,16,12,1.555,410.26
2016,1,16,24,1.82,422.66
2016,1,16,36,1.855,407.32
2016,1,16,48,1.833,415.07
2016,1,17,0,1.695,418.09
2016,1,17,12,1.864,414.72
2016,1,17,24,1.913,409.94
2016,1,17,36,1.917,405.25
2016,1,17,48,2.073,403.43
2016,1,18,0,2.409,413.31
2016,1,18,12,2.854,416.89
2016,1,18,24,3.513,420.46
2016,1,18,36,4.494,418.9
2016,1,18,48,6.626,431.19
2016,1,19,0,7.147,427.23
2016,1,19,12,6.845,428.27
2016,1,19,24,7.186,432.86
2016,1,19,36,7.121,436.38
2016,1,19,48,7.854,441.07
2016,1,20,0,8.023,441.79
2016,1,20,12,9.739,444.69
2016,1,20,24,10.016,446.1
2016,1,20,36,8.863,446.47
2016,1,20,48,8.042,442.79
2016,1,21,0,8.575,448.67
2016,1,21,12,7.597,442.2
2016,1,21,24,7.522,439.35
2016,1,21,36,7.406,439.11
2016,1,21,48,7.367,439.44
2016,1,22,0,6.368,433.99
2016,1,22,12,5.824,428.89
2016,1,22,24,5.062,431.02
2016,1,22,36,5.823,431.1
2016,1,22,48,5.75,430.62
2016,1,23,0,6.434,433.51
2016,1,23,12,5.524,434.47
2016,1,23,24,5.34,432.71
2016,1,23,36,6.908,432.35
2016,1,23,48,6.844,429.47
2016,2,0,0,7.184,430.46
2016,2,0,12,6.694,431.91
2016,2,0,24,6.742,430.74
2016,2,0,36,10.065,449.45
2016,2,0,48,10.29,444.52
2016,2,1,0,3.902,433.06
2016,2,1,12,1.683,437.42
2016,2,1,24,1.711,437.9
2016,2,1,36,1.975,438.69
2016,2,1,48,1.667,438.74
2016,2,2,0,1.645,442.43
2016,2,2,12,1.433,444.14
2016,2,2,24,1.404,439.71
2016,2,2,36,1.583,436.56
2016,2,2,48,1.436,439.08
2016,2,3,0,1.245,438.85
2016,2,3,12,1.827,439.03
2016,2,3,24,2.665,436.7
2016,2,3,36,3.179,429.12
2016,2,3,48,3.127,426.06
2016,2,4,0,3.026,428.82
2016,2,4,12,3.616,430.56
2016,2,4,24,3.352,434.38
2016,2,4,36,3.643,441.36
2016,2,4,48,5.756,450.28
2016,2,5,0,7.035,454.11
2016,2,5,12,6.661,453.24
2016,2,5,24,8.617,450.82
2016,2,5,36,9.193,451.71
2016,2,5,48,7.319,451.85
2016,2,6,0,5.541,451.35
2016,2,6,12,3.808,446.98
2016,2,6,24,4.961,447.67
2016,2,6,36,9.334,465.4
2016,2,6,48,9.282,464.42
2016,2,7,0,9.79,464.99
2016,2,7,12,7.489,464.57
2016,2,7,24,10.533,463.29
2016,2,7,36,9.305,466.1
2016,2,7,48,6.663,463.21
2016,2,8,0,5.999,457.3
2016,2,8,12,6.915,466.77
2016,2,8,24,7.844,470.54
2016,2,8,36,7.423,463.15
2016,2,8,48,7.534,459.98
2016,2,9,0,8.115,460.0
2016,2,9,12,9.598,462.36
2016,2,9,24,11.199,460.37
2016,2,9,36,11.509,465.84
2016,2,9,48,7.996,474.71
2016,2,10,0,7.317,481.39
2016,2,10,12,5.947,484.94
2016,2,10,24,7.276,486.57
2016,2,10,36,6.796,487.46
2016,2,10,48,6.902,479.03
2016,2,11,0,6.815,480.3
2016,2,11,12,6.117,479.95
2016,2,11,24,5.771,483.18
2016,2,11,36,6.191,481.11
2016,2,11,48,6.633,480.71
2016,2,12,0,6.717,484.66
2016,2,12,12,6.399,480.63
2016,2,12,24,6.565,472.06
2016,2,12,36,8.589,468.07
2016,2,12,48,5.426,471.72
2016,2,13,0,5.52,473.29
2016,2,13,12,6.785,475.62
2016,2,13,24,8.862,473.66
2016,2,13,36,7.358,468.9
2016,2,13,48,7.48,459.84
2016,2,14,0,5.187,463.52
2016,2,14,12,5.342,467.92
2016,2,14,24,5.348,467.04
2016,2,14,36,5.331,470.56
2016,2,14,48,4.948,470.66
2016,2,15,0,5.191,478.75
2016,2,15,12,5.287,464.25
2016,2,15,24,5.158,465.6
2016,2,15,36,5.157,463.56
2016,2,15,48,5.378,462.72
2016,2,16,0,5.517,462.81
2016,2,16,12,5.562,461.92
2016,2,16,24,5.714,461.55
2016,2,16,36,5.688,461.29
2016,2,16,48,6.432,460.25
2016,2,17,0,5.853,460.54
2016,2,17,12,5.779,458.3
2016,2,17,24,5.728,457.41
2016,2,17,36,6.387,460.15
2016,2,17,48,5.794,453.92
2016,2,18,0,5.629,456.64
2016,2,18,12,6.681,457.0
2016,2,18,24,6.464,460.02
2016,2,18,36,4.815,455.64
2016,2,18,48,5.525,462.81
2016,2,19,0,5.945,461.66
2016,2,19,12,6.46,456.73
2016,2,19,24,6.749,452.73
2016,2,19,36,6.925,451.97
2016,2,19,48,6.556,453.74
2016,2,20,0,5.839,463.52
2016,2,20,12,6.654,457.06
2016,2,20,24,7.805,461.86
2016,2,20,36,6.866,463.91
2016,2,20,48,6.577,464.97
2016,2,21,0,6.385,468.83
2016,2,21,12,6.575,464.92
2016,2,21,24,6.76,467.71
2016,2,21,36,8.139,458.66
2016,2,21,48,6.774,469.89
2016,2,22,0,7.703,452.48
