Year,Day,Hour,Minute,proton_density,proton_speed
2007,1,0,0,16.16,320.23
2007,1,0,12,17.149,325.61
2007,1,0,24,15.731,321.86
2007,1,0,36,12.998,322.47
2007,1,0,48,12.564,323.98
2007,1,1,0,11.797,327.25
2007,1,1,12,10.816,331.13
2007,1,1,24,8.613,331.81
2007,1,1,36,9.54,331.84
2007,1,1,48,8.107,334.4
2007,1,2,0,7.863,335.2
2007,1,2,12,8.481,336.08
2007,1,2,24,8.804,337.0
2007,1,2,36,8.826,336.39
2007,1,2,48,9.066,338.36
2007,1,3,0,8.54,352.48
2007,1,3,12,8.065,354.01
2007,1,3,24,9.094,350.34
2007,1,3,36,7.723,347.28
2007,1,3,48,7.332,345.3
2007,1,4,0,7.815,345.19
2007,1,4,12,8.058,347.19
2007,1,4,24,8.071,344.19
2007,1,4,36,7.497,345.22
2007,1,4,48,7.989,343.52
2007,1,5,0,8.983,347.7
2007,1,5,12,8.211,345.73
2007,1,5,24,8.414,347.06
2007,1,5,36,8.37,344.85
2007,1,5,48,7.887,348.42
2007,1,6,0,7.756,349.49
2007,1,6,12,8.459,350.43
2007,1,6,24,7.821,350.46
2007,1,6,36,8.278,351.82
2007,1,6,48,9.07,354.41
2007,1,7,0,9.039,355.48
2007,1,7,12,9.404,355.88
2007,1,7,24,10.483,351.72
2007,1,7,36,9.908,353.06
2007,1,7,48,12.274,359.62
2007,1,8,0,11.926,360.55
2007,1,8,12,12.812,359.3
2007,1,8,24,11.099,362.8
2007,1,8,36,13.34,364.17
2007,1,8,48,14.082,369.99
2007,1,9,0,16.748,372.11
2007,1,9,12,18.277,371.82
2007,1,9,24,18.715,374.5
2007,1,9,36,14.696,375.2
2007,1,9,48,14.439,374.93
2007,1,10,0,15.924,380.67
2007,1,10,12,17.332,369.32
2007,1,10,24,16.725,378.3
2007,1,10,36,21.196,375.74
2007,1,10,48,23.502,377.07
2007,1,11,0,24.172,378.25
2007,1,11,12,19.996,375.55
2007,1,11,24,17.356,365.37
2007,1,11,36,17.806,365.86
2007,1,11,48,20.592,365.31
2007,1,12,0,20.948,365.39
2007,1,12,12,18.542,372.43
2007,1,12,24,17.891,369.42
2007,1,12,36,15.444,367.38
2007,1,12,48,16.206,367.12
2007,1,13,0,17.266,371.4
2007,1,13,12,16.981,375.87
2007,1,13,24,15.954,368.91
2007,1,13,36,23.191,376.0
2007,1,13,48,26.492,385.27
2007,1,14,0,25.946,382.47
2007,1,14,12,34.296,382.1
2007,1,14,24,18.486,386.42
2007,1,14,36,16.948,384.8
2007,1,14,48,18.87,385.11
2007,1,15,0,19.352,389.11
2007,1,15,12,20.613,394.87
2007,1,15,24,21.499,399.28
2007,1,15,36,20.789,397.17
2007,1,15,48,19.71,395.37
2007,1,16,0,21.411,396.08
2007,1,16,12,21.278,397.63
2007,1,16,24,21.464,396.94
2007,1,16,36,19.479,400.4
2007,1,16,48,17.743,399.34
2007,1,17,0,15.133,396.7
2007,1,17,12,16.136,396.29
2007,1,17,24,15.864,396.44
2007,1,17,36,15.81,394.57
2007,1,17,48,15.458,394.56
2007,1,18,0,15.262,400.54
2007,1,18,12,15.731,403.21
2007,1,18,24,18.198,401.18
2007,1,18,36,17.663,401.35
2007,1,18,48,17.134,401.23
2007,1,19,0,16.374,403.76
2007,1,19,12,15.13,410.21
2007,1,19,24,14.371,417.9
2007,1,19,36,15.016,420.64
2007,1,19,48,16.343,424.22
2007,1,20,0,17.606,426.22
2007,1,20,12,16.284,428.01
2007,1,20,24,14.983,429.98
2007,1,20,36,17.543,435.49
2007,1,20,48,17.004,440.75
2007,1,21,0,16.645,450.17
2007,1,21,12,16.975,455.68
2007,1,21,24,16.237,452.44
2007,1,21,36,17.564,452.21
2007,1,21,48,17.619,450.31
2007,1,22,0,15.996,453.29
2007,1,22,12,16.256,453.78
2007,1,22,24,15.852,464.05
2007,1,22,36,14.349,465.81
2007,1,22,48,13.475,476.8
2007,1,23,0,12.175,513.43
2007,1,23,12,12.107,508.49
2007,1,23,24,11.411,512.06
2007,1,23,36,10.569,503.95
2007,1,23,48,12.141,517.15
2007,2,0,0,11.798,518.62
2007,2,0,12,12.487,510.11
2007,2,0,24,12.353,504.16
2007,2,0,36,11.229,502.44
2007,2,0,48,10.33,500.0
2007,2,1,0,10.169,501.53
2007,2,1,12,10.191,519.82
2007,2,1,24,11.121,519.97
2007,2,1,36,11.567,521.32
2007,2,1,48,11.17,520.67
2007,2,2,0,10.932,510.21
2007,2,2,12,10.034,514.03
2007,2,2,24,10.335,519.44
2007,2,2,36,10.22,528.92
2007,2,2,48,8.715,547.81
2007,2,3,0,8.277,568.88
2007,2,3,12,9.122,574.64
2007,2,3,24,8.358,569.06
2007,2,3,36,8.516,576.66
2007,2,3,48,7.138,562.23
2007,2,4,0,6.874,561.6
2007,2,4,12,7.968,545.53
2007,2,4,24,7.409,543.33
2007,2,4,36,7.135,545.8
2007,2,4,48,6.854,559.13
2007,2,5,0,7.251,557.84
2007,2,5,12,7.472,550.81
2007,2,5,24,7.269,537.7
2007,2,5,36,7.632,532.01
2007,2,5,48,7.926,534.43
2007,2,6,0,7.649,523.11
2007,2,6,12,6.922,514.29
2007,2,6,24,6.917,533.36
2007,2,6,36,5.405,545.53
2007,2,6,48,5.249,544.17
2007,2,7,0,5.203,540.64
2007,2,7,12,4.704,549.88
2007,2,7,24,4.314,558.18
2007,2,7,36,4.551,568.58
2007,2,7,48,4.769,576.19
2007,2,8,0,4.881,577.24
2007,2,8,12,6.052,594.2
2007,2,8,24,6.474,599.89
2007,2,8,36,6.394,597.86
2007,2,8,48,6.555,601.34
2007,2,9,0,6.505,606.59
2007,2,9,12,6.068,607.9
2007,2,9,24,6.183,601.93
2007,2,9,36,5.799,606.72
2007,2,9,48,5.33,613.66
2007,2,10,0,5.358,629.23
2007,2,10,12,5.386,626.56
2007,2,10,24,5.266,618.88
2007,2,10,36,5.248,612.91
2007,2,10,48,4.917,607.26
2007,2,11,0,4.781,605.12
2007,2,11,12,5.393,614.95
2007,2,11,24,5.391,616.9
2007,2,11,36,4.411,604.64
2007,2,11,48,5.06,606.92
2007,2,12,0,5.19,602.35
2007,2,12,12,5.517,602.13
2007,2,12,24,5.043,595.74
2007,2,12,36,5.521,596.53
2007,2,12,48,5.53,602.39
2007,2,13,0,5.413,591.9
2007,2,13,12,5.651,596.98
2007,2,13,24,5.965,607.13
2007,2,13,36,6.309,607.15
2007,2,13,48,6.103,598.57
2007,2,14,0,5.853,584.89
2007,2,14,12,6.144,582.97
2007,2,14,24,6.123,580.91
2007,2,14,36,5.998,576.67
2007,2,14,48,6.032,574.86
2007,2,15,0,6.265,576.47
2007,2,15,12,6.285,582.13
2007,2,15,24,5.535,575.19
2007,2,15,36,5.18,571.5
2007,2,15,48,5.507,573.01
2007,2,16,0,5.778,576.69
2007,2,16,12,5.971,574.54
2007,2,16,24,6.26,583.51
2007,2,16,36,5.705,580.06
2007,2,16,48,5.216,575.54
2007,2,17,0,5.037,575.87
2007,2,17,12,4.752,555.22
2007,2,17,24,4.7,552.05
2007,2,17,36,5.16,550.16
2007,2,17,48,4.621,544.98
2007,2,18,0,4.844,556.47
2007,2,18,12,5.621,578.42
2007,2,18,24,5.806,545.9
2007,2,18,36,5.784,538.71
2007,2,18,48,5.66,536.97
2007,2,19,0,5.729,523.76
2007,2,19,12,5.661,521.68
2007,2,19,24,5.637,529.47
2007,2,19,36,6.15,535.3
2007,2,19,48,5.779,531.48
2007,2,20,0,5.484,533.74
2007,2,20,12,5.636,533.54
2007,2,20,24,5.418,529.64
2007,2,20,36,5.79,533.59
2007,2,20,48,5.877,557.59
2007,2,21,0,5.212,545.81
2007,2,21,12,5.124,542.7
2007,2,21,24,5.008,546.59
2007,2,21,36,5.33,561.35
2007,2,21,48,5.403,570.55
2007,2,22,0,4.824,568.36
2007,2,22,12,5.097,556.52
2007,2,22,24,5.233,553.29
2007,2,22,36,5.459,539.69
2007,2,22,48,5.362,562.29
2007,2,23,0,5.638,593.73
2007,2,23,12,5.375,590.37
2007,2,23,24,5.04,587.61
2007,2,23,36,5.152,570.48
2007,2,23,48,5.594,571.35
2007,3,0,0,5.152,572.75
2007,3,0,12,4.903,572.11
2007,3,0,24,5.598,584.44
2007,3,0,36,6.188,600.5
2007,3,0,48,6.695,616.78
2007,3,1,0,5.847,595.12
2007,3,1,12,5.705,597.66
2007,3,1,24,6.285,600.36
2007,3,1,36,5.215,612.07
2007,3,1,48,4.552,632.69
2007,3,2,0,4.132,626.54
2007,3,2,12,3.638,633.25
2007,3,2,24,3.947,655.83
2007,3,2,36,4.398,667.45
2007,3,2,48,4.789,677.35
2007,3,3,0,4.836,649.62
2007,3,3,12,4.829,640.51
2007,3,3,24,4.932,636.92
2007,3,3,36,5.145,641.64
2007,3,3,48,5.532,639.46
2007,3,4,0,5.502,653.93
2007,3,4,12,5.7,656.24
2007,3,4,24,5.804,640.04
2007,3,4,36,6.15,644.27
2007,3,4,48,6.106,646.15
2007,3,5,0,5.238,647.91
2007,3,5,12,5.739,656.09
2007,3,5,24,5.917,668.48
2007,3,5,36,5.642,649.01
2007,3,5,48,4.859,637.26
2007,3,6,0,5.373,634.89
2007,3,6,12,5.606,642.87
2007,3,6,24,5.181,647.14
2007,3,6,36,5.297,642.96
2007,3,6,48,6.201,635.37
2007,3,7,0,6.061,629.73
2007,3,7,12,6.716,646.69
2007,3,7,24,6.379,662.33
2007,3,7,36,6.434,644.85
2007,3,7,48,7.132,634.09
2007,3,8,0,7.003,632.01
2007,3,8,12,4.39,651.51
2007,3,8,24,4.335,645.88
2007,3,8,36,3.698,661.5
2007,3,8,48,4.018,683.19
2007,3,9,0,4.147,663.27
2007,3,9,12,3.862,665.13
2007,3,9,24,3.603,658.13
2007,3,9,36,3.443,665.74
2007,3,9,48,3.712,681.42
2007,3,10,0,3.632,666.72
2007,3,10,12,3.511,680.06
2007,3,10,24,3.512,684.94
2007,3,10,36,3.78,681.02
2007,3,10,48,3.837,679.69
2007,3,11,0,4.19,666.98
2007,3,11,12,4.104,680.56
2007,3,11,24,3.963,665.51
2007,3,11,36,4.177,661.32
2007,3,11,48,3.651,673.24
2007,3,12,0,4.148,664.11
2007,3,12,12,3.878,672.27
2007,3,12,24,3.298,688.49
2007,3,12,36,3.44,689.17
2007,3,12,48,3.807,675.28
2007,3,13,0,3.644,693.13
2007,3,13,12,3.901,702.04
2007,3,13,24,3.725,682.95
2007,3,13,36,3.927,685.93
2007,3,13,48,3.714,682.47
2007,3,14,0,3.58,688.68
2007,3,14,12,3.548,682.42
2007,3,14,24,3.464,690.08
2007,3,14,36,3.433,671.17
2007,3,14,48,3.415,672.1
2007,3,15,0,3.482,688.89
2007,3,15,12,3.743,670.1
2007,3,15,24,4.122,651.9
2007,3,15,36,4.065,654.45
2007,3,15,48,3.793,648.39
2007,3,16,0,3.26,669.79
2007,3,16,12,3.834,643.12
2007,3,16,24,3.677,649.13
2007,3,16,36,3.719,636.72
2007,3,16,48,3.633,633.99
2007,3,17,0,3.672,630.87
2007,3,17,12,3.634,654.75
2007,3,17,24,3.337,665.3
2007,3,17,36,3.258,645.09
2007,3,17,48,3.367,640.24
2007,3,18,0,3.407,633.32
2007,3,18,12,3.375,636.63
2007,3,18,24,3.244,633.15
2007,3,18,36,3.279,627.67
2007,3,18,48,3.319,632.17
2007,3,19,0,3.475,635.94
2007,3,19,12,3.549,647.13
2007,3,19,24,3.894,647.03
2007,3,19,36,3.853,652.42
2007,3,19,48,3.857,660.72
2007,3,20,0,3.902,671.94
2007,3,20,12,4.196,657.71
2007,3,20,24,4.408,649.19
2007,3,20,36,4.844,639.27
2007,3,20,48,4.783,641.3
2007,3,21,0,4.574,638.57
2007,3,21,12,3.678,638.47
2007,3,21,24,4.23,644.61
2007,3,21,36,4.14,646.36
2007,3,21,48,4.381,648.3
2007,3,22,0,4.41,655.4
2007,3,22,12,4.24,656.43
2007,3,22,24,4.034,677.29
2007,3,22,36,4.112,673.53
2007,3,22,48,3.94,654.43
2007,3,23,0,3.623,659.08
2007,3,23,12,3.735,665.98
2007,3,23,24,3.644,658.0
2007,3,23,36,3.02,659.48
2007,3,23,48,3.305,655.7
2007,4,0,0,3.166,657.12
2007,4,0,12,3.404,654.73
2007,4,0,24,3.259,644.79
2007,4,0,36,3.012,639.66
2007,4,0,48,3.451,644.06
2007,4,1,0,3.703,647.33
2007,4,1,12,3.439,640.39
2007,4,1,24,3.593,645.16
2007,4,1,36,3.318,642.32
2007,4,1,48,3.342,638.04
2007,4,2,0,3.307,634.39
2007,4,2,12,3.444,632.23
2007,4,2,24,3.731,623.53
2007,4,2,36,3.627,625.66
2007,4,2,48,3.206,624.11
2007,4,3,0,3.095,632.49
2007,4,3,12,3.411,646.38
2007,4,3,24,3.316,651.54
2007,4,3,36,3.457,644.43
2007,4,3,48,3.43,641.57
2007,4,4,0,3.746,639.07
2007,4,4,12,3.432,640.0
2007,4,4,24,3.789,650.36
2007,4,4,36,4.748,636.24
2007,4,4,48,4.394,634.26
2007,4,5,0,3.859,648.76
2007,4,5,12,4.235,633.5
2007,4,5,24,3.802,640.3
2007,4,5,36,3.96,656.17
2007,4,5,48,4.165,638.84
2007,4,6,0,4.085,637.21
2007,4,6,12,4.091,634.53
2007,4,6,24,3.982,642.95
2007,4,6,36,3.687,645.65
2007,4,6,48,3.686,633.62
2007,4,7,0,3.779,634.64
2007,4,7,12,3.885,636.97
2007,4,7,24,3.317,639.66
2007,4,7,36,3.138,637.54
2007,4,7,48,3.166,634.92
2007,4,8,0,3.329,634.54
2007,4,8,12,2.745,643.37
2007,4,8,24,2.904,643.9
2007,4,8,36,2.835,676.45
2007,4,8,48,2.769,651.98
2007,4,9,0,2.69,636.39
2007,4,9,12,2.654,634.1
2007,4,9,24,2.52,640.22
2007,4,9,36,2.571,672.76
2007,4,9,48,2.682,657.59
2007,4,10,0,2.728,644.97
2007,4,10,12,2.483,646.95
2007,4,10,24,2.673,642.81
2007,4,10,36,2.948,652.23
2007,4,10,48,3.129,669.41
2007,4,11,0,3.091,673.68
2007,4,11,12,2.838,661.56
2007,4,11,24,2.826,663.41
2007,4,11,36,2.866,657.11
2007,4,11,48,2.816,657.42
2007,4,12,0,3.181,658.48
2007,4,12,12,3.496,650.7
2007,4,12,24,3.691,644.14
2007,4,12,36,2.921,644.13
2007,4,12,48,3.397,644.24
2007,4,13,0,3.621,654.37
2007,4,13,12,3.156,655.79
2007,4,13,24,3.192,659.79
2007,4,13,36,2.742,680.6
2007,4,13,48,2.334,690.12
2007,4,14,0,2.363,671.13
2007,4,14,12,2.592,653.92
2007,4,14,24,1.881,656.35
2007,4,14,36,2.054,662.96
2007,4,14,48,1.977,654.76
2007,4,15,0,1.865,651.56
2007,4,15,12,1.827,650.41
2007,4,15,24,1.898,646.51
2007,4,15,36,1.789,642.22
2007,4,15,48,1.989,643.6
2007,4,16,0,1.942,648.22
2007,4,16,12,1.929,656.06
2007,4,16,24,1.945,642.03
2007,4,16,36,2.045,640.08
2007,4,16,48,1.928,638.95
2007,4,17,0,1.917,634.29
2007,4,17,12,2.055,633.07
2007,4,17,24,1.885,629.01
2007,4,17,36,1.88,628.42
2007,4,17,48,1.818,626.29
2007,4,18,0,1.752,625.29
2007,4,18,12,1.864,627.82
2007,4,18,24,1.724,625.99
2007,4,18,36,1.66,623.76
2007,4,18,48,1.593,623.08
2007,4,19,0,1.611,625.69
2007,4,19,12,1.547,619.72
2007,4,19,24,1.503,611.0
2007,4,19,36,1.522,608.71
2007,4,19,48,1.625,612.92
2007,4,20,0,1.911,631.35
2007,4,20,12,1.933,620.35
2007,4,20,24,1.967,629.96
2007,4,20,36,2.004,632.87
2007,4,20,48,2.131,638.84
2007,4,21,0,2.225,633.34
2007,4,21,12,2.133,626.13
2007,4,21,24,1.904,614.48
2007,4,21,36,1.953,615.4
2007,4,21,48,2.193,617.8
2007,4,22,0,2.078,619.27
2007,4,22,12,2.66,621.09
2007,4,22,24,2.629,631.9
2007,4,22,36,2.655,638.64
2007,4,22,48,2.257,638.4
2007,4,23,0,2.919,635.78
2007,4,23,12,2.907,638.5
2007,4,23,24,2.671,618.21
2007,4,23,36,2.889,617.64
2007,4,23,48,2.571,626.03
2007,5,0,0,2.948,628.42
2007,5,0,12,2.531,624.46
2007,5,0,24,2.797,626.93
2007,5,0,36,2.578,628.77
2007,5,0,48,2.705,635.46
2007,5,1,0,2.839,631.36
2007,5,1,12,2.611,626.99
2007,5,1,24,2.616,630.15
2007,5,1,36,2.613,639.58
2007,5,1,48,2.827,630.64
2007,5,2,0,2.967,619.58
2007,5,2,12,3.059,621.58
2007,5,2,24,2.703,621.02
2007,5,2,36,2.476,624.02
2007,5,2,48,2.514,617.57
2007,5,3,0,2.736,612.96
2007,5,3,12,2.474,613.87
2007,5,3,24,2.571,618.33
2007,5,3,36,2.672,624.59
2007,5,3,48,2.868,616.84
2007,5,4,0,3.096,614.31
2007,5,4,12,3.043,621.27
2007,5,4,24,2.853,620.46
2007,5,4,36,2.98,613.42
2007,5,4,48,2.476,604.98
2007,5,5,0,2.736,615.55
2007,5,5,12,2.607,617.68
2007,5,5,24,2.304,612.35
2007,5,5,36,2.752,613.4
2007,5,5,48,2.667,616.49
2007,5,6,0,2.704,616.0
2007,5,6,12,2.634,614.72
2007,5,6,24,2.522,609.53
2007,5,6,36,2.539,615.17
2007,5,6,48,2.581,614.58
2007,5,7,0,2.624,621.07
2007,5,7,12,2.683,619.94
2007,5,7,24,2.621,612.51
2007,5,7,36,2.998,627.26
2007,5,7,48,2.966,627.23
2007,5,8,0,2.678,624.84
2007,5,8,12,2.703,603.91
2007,5,8,24,2.905,614.79
2007,5,8,36,2.938,612.88
2007,5,8,48,3.188,613.01
2007,5,9,0,2.898,610.35
2007,5,9,12,2.989,608.72
2007,5,9,24,2.966,615.9
2007,5,9,36,3.129,618.54
2007,5,9,48,2.886,620.17
2007,5,10,0,2.691,620.35
2007,5,10,12,2.611,610.65
2007,5,10,24,3.073,618.64
2007,5,10,36,3.27,623.32
2007,5,10,48,3.324,619.9
2007,5,11,0,3.188,616.16
2007,5,11,12,2.936,611.78
2007,5,11,24,2.927,605.89
2007,5,11,36,2.871,604.13
2007,5,11,48,2.87,602.98
2007,5,12,0,2.777,601.41
2007,5,12,12,2.977,601.09
2007,5,12,24,3.059,610.41
2007,5,12,36,3.058,615.33
2007,5,12,48,3.052,601.64
2007,5,13,0,2.917,590.81
2007,5,13,12,2.657,592.58
2007,5,13,24,2.683,604.21
2007,5,13,36,2.568,597.76
2007,5,13,48,2.501,594.8
2007,5,14,0,2.354,592.94
2007,5,14,12,2.221,596.46
2007,5,14,24,2.148,598.03
2007,5,14,36,2.073,600.81
2007,5,14,48,2.113,615.75
2007,5,15,0,1.853,615.13
2007,5,15,12,1.858,613.39
2007,5,15,24,1.97,623.96
2007,5,15,36,1.846,623.91
2007,5,15,48,1.537,621.5
2007,5,16,0,1.588,620.11
2007,5,16,12,1.644,619.82
2007,5,16,24,1.721,619.45
2007,5,16,36,1.717,619.08
2007,5,16,48,1.659,619.53
2007,5,17,0,1.561,617.63
2007,5,17,12,1.494,615.51
2007,5,17,24,1.41,616.61
2007,5,17,36,1.407,619.58
2007,5,17,48,1.476,617.85
2007,5,18,0,1.571,618.94
2007,5,18,12,1.478,619.23
2007,5,18,24,1.529,620.02
2007,5,18,36,1.598,614.56
2007,5,18,48,1.6,613.03
2007,5,19,0,1.623,613.3
2007,5,19,12,1.639,606.55
2007,5,19,24,1.652,602.84
2007,5,19,36,1.715,603.58
2007,5,19,48,1.698,601.06
2007,5,20,0,1.506,597.32
2007,5,20,12,1.364,588.91
2007,5,20,24,1.318,584.05
2007,5,20,36,1.198,579.64
2007,5,20,48,1.792,560.84
2007,5,21,0,1.52,570.3
2007,5,21,12,1.904,552.3
2007,5,21,24,1.826,552.47
2007,5,21,36,1.88,550.5
2007,5,21,48,1.908,551.9
2007,5,22,0,1.556,562.71
2007,5,22,12,1.488,562.39
2007,5,22,24,1.596,566.78
2007,5,22,36,1.707,574.91
2007,5,22,48,1.642,582.16
2007,5,23,0,1.748,578.02
2007,5,23,12,1.708,574.59
2007,5,23,24,1.712,572.42
2007,5,23,36,1.886,573.59
2007,5,23,48,1.79,570.48
2007,6,0,0,1.639,568.68
2007,6,0,12,1.771,571.2
2007,6,0,24,1.925,569.26
2007,6,0,36,1.722,568.59
2007,6,0,48,1.853,566.76
2007,6,1,0,1.854,564.05
2007,6,1,12,1.928,562.37
2007,6,1,24,1.862,560.97
2007,6,1,36,1.658,556.91
2007,6,1,48,1.387,549.71
2007,6,2,0,1.373,542.15
2007,6,2,12,1.988,529.26
2007,6,2,24,2.467,524.89
2007,6,2,36,2.317,518.48
2007,6,2,48,2.545,510.2
2007,6,3,0,2.653,512.04
2007,6,3,12,2.52,511.45
2007,6,3,24,2.053,514.65
2007,6,3,36,2.067,511.67
2007,6,3,48,2.105,515.61
2007,6,4,0,1.87,522.25
2007,6,4,12,1.643,525.17
2007,6,4,24,1.736,522.43
2007,6,4,36,1.959,524.09
2007,6,4,48,1.768,521.96
2007,6,5,0,1.701,520.78
2007,6,5,12,1.666,514.46
2007,6,5,24,1.746,514.7
2007,6,5,36,1.974,501.4
2007,6,5,48,1.731,502.08
2007,6,6,0,1.99,495.47
2007,6,6,12,2.18,492.0
2007,6,6,24,2.501,491.93
2007,6,6,36,2.123,498.6
2007,6,6,48,2.032,498.78
2007,6,7,0,2.197,494.2
2007,6,7,12,2.485,485.77
2007,6,7,24,2.492,487.81
2007,6,7,36,2.405,487.92
2007,6,7,48,2.327,488.13
2007,6,8,0,2.342,485.66
2007,6,8,12,2.199,486.56
2007,6,8,24,2.284,489.47
2007,6,8,36,2.112,487.18
2007,6,8,48,2.148,489.03
2007,6,9,0,2.331,484.51
2007,6,9,12,2.453,485.14
2007,6,9,24,2.523,485.31
2007,6,9,36,2.46,483.15
2007,6,9,48,2.52,484.29
2007,6,10,0,2.624,485.74
2007,6,10,12,2.771,481.21
2007,6,10,24,2.663,479.71
2007,6,10,36,2.551,480.77
2007,6,10,48,2.501,480.38
2007,6,11,0,2.43,480.5
2007,6,11,12,2.144,479.84
2007,6,11,24,2.533,473.78
2007,6,11,36,2.496,473.61
2007,6,11,48,2.349,473.35
2007,6,12,0,2.508,475.79
2007,6,12,12,2.633,475.15
2007,6,12,24,2.605,473.87
2007,6,12,36,2.566,472.86
2007,6,12,48,2.603,470.66
2007,6,13,0,2.661,472.65
2007,6,13,12,2.861,472.58
2007,6,13,24,2.827,469.04
2007,6,13,36,2.804,468.7
2007,6,13,48,2.766,467.96
2007,6,14,0,2.788,467.13
2007,6,14,12,2.775,467.31
2007,6,14,24,2.735,466.86
2007,6,14,36,2.875,465.92
2007,6,14,48,2.869,464.18
2007,6,15,0,3.037,467.42
2007,6,15,12,3.173,464.47
2007,6,15,24,3.103,457.94
2007,6,15,36,3.255,462.61
2007,6,15,48,3.04,464.0
2007,6,16,0,3.123,463.4
2007,6,16,12,3.416,461.15
2007,6,16,24,3.6,456.64
2007,6,16,36,3.552,457.96
2007,6,16,48,3.6,456.92
2007,6,17,0,3.537,455.43
2007,6,17,12,3.348,454.9
2007,6,17,24,3.371,453.44
2007,6,17,36,3.098,455.99
2007,6,17,48,3.09,454.33
2007,6,18,0,3.118,450.15
2007,6,18,12,3.013,448.88
2007,6,18,24,2.937,450.96
2007,6,18,36,2.914,448.98
2007,6,18,48,2.981,447.29
2007,6,19,0,3.071,445.91
2007,6,19,12,3.34,442.19
