Year,Day,Hour,Minute,proton_density,proton_speed
2001,1,0,0,7.936,292.21
2001,1,0,12,8.758,290.89
2001,1,0,24,8.761,290.76
2001,1,0,36,8.094,288.86
2001,1,0,48,8.371,284.94
2001,1,1,0,8.222,285.42
2001,1,1,12,8.098,285.28
2001,1,1,24,8.242,285.63
2001,1,1,36,6.852,286.27
2001,1,1,48,11.186,285.7
2001,1,2,0,11.167,287.12
2001,1,2,12,10.959,287.82
2001,1,2,24,-9999.9,285.71
2001,1,2,36,12.124,286.19
2001,1,2,48,12.354,288.26
2001,1,3,0,13.897,287.49
2001,1,3,12,12.242,285.09
2001,1,3,24,10.066,282.06
2001,1,3,36,9.892,283.08
2001,1,3,48,7.719,284.0
2001,1,4,0,11.827,284.0
2001,1,4,12,13.566,282.2
2001,1,4,24,11.725,281.54
2001,1,4,36,11.388,280.13
2001,1,4,48,11.626,279.79
2001,1,5,0,10.821,279.58
2001,1,5,12,10.613,279.33
2001,1,5,24,10.268,278.5
2001,1,5,36,10.525,278.25
2001,1,5,48,10.406,278.82
2001,1,6,0,7.543,279.7
2001,1,6,12,9.748,277.39
2001,1,6,24,10.196,276.81
2001,1,6,36,10.329,276.05
2001,1,6,48,11.382,274.66
2001,1,7,0,11.753,274.9
2001,1,7,12,12.024,276.76
2001,1,7,24,11.593,277.61
2001,1,7,36,10.711,276.52
2001,1,7,48,10.331,278.6
2001,1,8,0,10.816,279.96
2001,1,8,12,7.341,280.17
2001,1,8,24,10.445,279.52
2001,1,8,36,10.159,280.63
2001,1,8,48,10.306,280.6
2001,1,9,0,10.661,279.91
2001,1,9,12,10.035,280.31
2001,1,9,24,10.601,278.59
2001,1,9,36,9.894,279.2
2001,1,9,48,10.267,277.55
2001,1,10,0,9.772,278.08
2001,1,10,12,13.878,280.78
2001,1,10,24,9.13,280.28
2001,1,10,36,10.357,278.38
2001,1,10,48,11.445,278.08
2001,1,11,0,9.998,278.98
2001,1,11,12,9.629,277.25
2001,1,11,24,10.106,279.52
2001,1,11,36,10.696,282.54
2001,1,11,48,10.293,280.28
2001,1,12,0,12.116,283.18
2001,1,12,12,11.648,285.22
2001,1,12,24,11.374,283.52
