Year,Day,Hour,Minute,proton_density,proton_speed
2005,1,0,0,6.003,429.2
2005,1,0,12,5.777,436.53
2005,1,0,24,5.83,418.37
2005,1,0,36,6.008,429.66
2005,1,0,48,5.98,434.64
2005,1,1,0,6.239,431.37
2005,1,1,12,6.527,431.67
2005,1,1,24,6.643,428.22
2005,1,1,36,6.744,434.99
2005,1,1,48,6.411,438.71
2005,1,2,0,6.299,434.31
2005,1,2,12,6.514,438.51
2005,1,2,24,7.008,436.59
2005,1,2,36,6.042,439.04
2005,1,2,48,6.013,436.28
2005,1,3,0,6.223,434.61
2005,1,3,12,6.462,430.85
2005,1,3,24,6.644,418.91
2005,1,3,36,7.022,427.91
2005,1,3,48,6.591,428.68
2005,1,4,0,6.806,437.08
2005,1,4,12,7.057,439.79
2005,1,4,24,7.534,444.2
2005,1,4,36,7.177,443.27
2005,1,4,48,7.636,449.93
2005,1,5,0,6.647,441.11
2005,1,5,12,6.329,432.3
2005,1,5,24,7.094,439.65
2005,1,5,36,7.142,434.52
2005,1,5,48,7.19,438.26
2005,1,6,0,6.608,453.93
2005,1,6,12,7.327,443.61
2005,1,6,24,6.73,418.6
2005,1,6,36,7.255,432.31
2005,1,6,48,7.924,433.81
2005,1,7,0,8.192,429.15
2005,1,7,12,7.416,425.16
2005,1,7,24,6.691,419.21
2005,1,7,36,6.849,418.82
2005,1,7,48,7.757,432.17
2005,1,8,0,6.556,443.73
2005,1,8,12,6.537,427.65
2005,1,8,24,6.675,434.41
2005,1,8,36,6.974,435.65
2005,1,8,48,6.754,430.54
2005,1,9,0,6.843,435.88
2005,1,9,12,6.398,423.19
2005,1,9,24,6.285,426.6
2005,1,9,36,6.41,427.09
2005,1,9,48,6.634,429.45
2005,1,10,0,7.863,441.74
2005,1,10,12,10.608,469.1
2005,1,10,24,11.532,467.2
2005,1,10,36,8.883,487.22
2005,1,10,48,8.297,476.63
2005,1,11,0,7.176,477.15
2005,1,11,12,8.075,477.63
2005,1,11,24,7.966,483.72
2005,1,11,36,8.751,486.55
2005,1,11,48,8.687,460.29
2005,1,12,0,9.272,468.85
2005,1,12,12,9.834,481.73
2005,1,12,24,9.9,444.26
2005,1,12,36,9.763,458.28
2005,1,12,48,7.508,477.04
2005,1,13,0,8.878,479.22
2005,1,13,12,8.632,482.54
2005,1,13,24,9.412,460.62
2005,1,13,36,9.841,453.64
2005,1,13,48,8.787,455.76
2005,1,14,0,8.479,465.18
2005,1,14,12,8.29,472.72
2005,1,14,24,8.267,451.66
2005,1,14,36,8.625,441.75
2005,1,14,48,8.059,454.61
2005,1,15,0,8.841,455.5
2005,1,15,12,7.579,465.2
2005,1,15,24,8.403,454.27
2005,1,15,36,7.987,456.44
2005,1,15,48,8.178,457.42
2005,1,16,0,8.444,463.77
2005,1,16,12,8.852,468.04
2005,1,16,24,9.397,481.32
2005,1,16,36,11.677,483.67
2005,1,16,48,12.417,488.35
2005,1,17,0,13.832,488.08
2005,1,17,12,13.276,493.9
2005,1,17,24,12.58,498.42
2005,1,17,36,13.264,491.37
2005,1,17,48,13.245,492.94
2005,1,18,0,12.425,480.84
2005,1,18,12,12.16,466.14
2005,1,18,24,12.477,466.02
2005,1,18,36,12.574,458.92
2005,1,18,48,12.486,454.26
2005,1,19,0,12.399,446.03
2005,1,19,12,12.703,446.98
2005,1,19,24,12.452,463.62
2005,1,19,36,11.685,469.27
2005,1,19,48,12.749,468.01
2005,1,20,0,13.563,485.36
2005,1,20,12,13.206,487.75
2005,1,20,24,13.027,498.79
2005,1,20,36,12.172,489.89
2005,1,20,48,12.698,481.09
2005,1,21,0,14.728,493.13
2005,1,21,12,10.211,502.76
2005,1,21,24,11.618,500.65
2005,1,21,36,14.53,501.72
2005,1,21,48,25.492,538.47
2005,1,22,0,34.4,500.77
2005,1,22,12,30.684,498.03
2005,1,22,24,13.998,499.46
2005,1,22,36,4.862,562.16
2005,1,22,48,4.785,567.82
2005,1,23,0,5.083,570.3
2005,1,23,12,6.485,594.05
2005,1,23,24,5.925,589.6
2005,1,23,36,5.922,597.28
2005,1,23,48,5.736,584.76
2005,2,0,0,5.808,583.98
2005,2,0,12,5.381,590.84
2005,2,0,24,6.02,595.04
2005,2,0,36,5.289,594.7
2005,2,0,48,4.908,579.76
2005,2,1,0,3.438,559.97
2005,2,1,12,5.274,558.68
2005,2,1,24,6.752,560.44
2005,2,1,36,7.685,561.66
2005,2,1,48,6.764,557.12
2005,2,2,0,6.567,548.94
2005,2,2,12,7.019,549.45
2005,2,2,24,7.029,582.21
2005,2,2,36,5.493,609.66
2005,2,2,48,4.346,641.07
2005,2,3,0,3.871,651.31
2005,2,3,12,3.922,649.25
2005,2,3,24,4.396,655.32
2005,2,3,36,3.978,655.78
2005,2,3,48,4.679,682.98
2005,2,4,0,5.276,699.63
2005,2,4,12,5.523,678.73
2005,2,4,24,5.15,660.94
2005,2,4,36,4.526,676.69
2005,2,4,48,4.785,676.43
2005,2,5,0,4.861,691.9
2005,2,5,12,4.493,700.93
2005,2,5,24,3.902,730.72
2005,2,5,36,3.834,740.31
2005,2,5,48,4.05,758.18
2005,2,6,0,4.163,769.62
2005,2,6,12,4.058,754.11
2005,2,6,24,3.398,734.45
2005,2,6,36,3.748,736.44
2005,2,6,48,3.815,754.72
2005,2,7,0,3.603,745.17
2005,2,7,12,3.391,734.43
2005,2,7,24,3.083,754.59
2005,2,7,36,3.221,737.65
2005,2,7,48,3.369,742.97
2005,2,8,0,3.539,749.91
2005,2,8,12,3.207,722.93
2005,2,8,24,3.289,724.83
2005,2,8,36,3.497,719.02
2005,2,8,48,3.654,723.61
2005,2,9,0,3.042,740.75
2005,2,9,12,3.217,749.57
2005,2,9,24,3.294,741.83
2005,2,9,36,2.38,748.89
2005,2,9,48,2.645,756.84
2005,2,10,0,2.679,758.65
2005,2,10,12,2.781,761.77
2005,2,10,24,2.842,779.96
2005,2,10,36,2.775,777.29
2005,2,10,48,2.595,785.49
2005,2,11,0,2.757,769.74
2005,2,11,12,2.304,756.28
2005,2,11,24,2.528,762.27
2005,2,11,36,2.436,776.87
2005,2,11,48,2.349,768.28
2005,2,12,0,2.497,774.23
2005,2,12,12,2.158,775.3
2005,2,12,24,2.336,766.57
2005,2,12,36,2.176,794.9
2005,2,12,48,2.23,759.1
2005,2,13,0,2.09,772.59
2005,2,13,12,2.042,762.99
