Year,Day,Hour,Minute,proton_density,proton_speed
2004,1,0,0,7.419,525.77
2004,1,0,12,7.599,531.28
2004,1,0,24,6.751,529.83
2004,1,0,36,6.476,529.79
2004,1,0,48,6.643,521.89
2004,1,1,0,6.489,532.11
2004,1,1,12,6.7,543.51
2004,1,1,24,6.979,543.13
2004,1,1,36,5.458,531.92
2004,1,1,48,5.834,538.31
2004,1,2,0,5.447,541.7
2004,1,2,12,5.789,548.97
2004,1,2,24,5.88,554.22
2004,1,2,36,6.103,569.9
2004,1,2,48,5.783,560.52
2004,1,3,0,6.333,564.93
2004,1,3,12,6.181,540.21
2004,1,3,24,6.267,536.79
2004,1,3,36,5.897,543.5
2004,1,3,48,5.516,542.47
2004,1,4,0,6.099,559.35
2004,1,4,12,5.889,530.64
2004,1,4,24,6.184,517.58
2004,1,4,36,6.187,525.47
2004,1,4,48,6.629,525.26
2004,1,5,0,6.699,523.42
2004,1,5,12,6.539,522.23
2004,1,5,24,6.805,523.44
2004,1,5,36,7.221,525.53
2004,1,5,48,7.567,519.11
2004,1,6,0,7.362,518.82
2004,1,6,12,7.308,523.83
2004,1,6,24,7.2,527.86
2004,1,6,36,6.704,529.29
2004,1,6,48,6.491,530.41
2004,1,7,0,6.373,531.08
2004,1,7,12,6.801,525.82
2004,1,7,24,7.287,521.46
2004,1,7,36,7.373,520.31
2004,1,7,48,7.408,525.65
2004,1,8,0,7.567,533.36
2004,1,8,12,7.46,521.09
2004,1,8,24,6.315,524.72
2004,1,8,36,6.199,522.51
2004,1,8,48,7.254,525.63
2004,1,9,0,8.112,529.09
2004,1,9,12,8.636,533.68
2004,1,9,24,8.174,517.26
2004,1,9,36,7.758,503.42
2004,1,9,48,7.822,506.39
2004,1,10,0,8.069,528.44
2004,1,10,12,8.209,527.52
2004,1,10,24,7.703,526.38
2004,1,10,36,8.228,533.24
2004,1,10,48,7.883,524.88
2004,1,11,0,8.13,528.84
2004,1,11,12,7.617,527.52
2004,1,11,24,8.033,548.3
2004,1,11,36,7.765,533.8
2004,1,11,48,8.271,543.72
2004,1,12,0,8.208,552.87
2004,1,12,12,7.641,543.29
2004,1,12,24,7.042,544.99
2004,1,12,36,6.759,537.22
2004,1,12,48,6.62,546.46
2004,1,13,0,6.547,543.49
2004,1,13,12,6.225,545.0
2004,1,13,24,6.931,546.57
2004,1,13,36,7.506,557.95
2004,1,13,48,7.155,562.52
2004,1,14,0,6.637,583.17
2004,1,14,12,6.195,562.85
2004,1,14,24,6.365,554.98
2004,1,14,36,6.489,552.57
2004,1,14,48,6.657,564.59
2004,1,15,0,6.695,556.67
2004,1,15,12,6.802,556.0
2004,1,15,24,6.851,547.53
2004,1,15,36,6.394,539.19
2004,1,15,48,6.394,538.86
2004,1,16,0,6.516,548.52
2004,1,16,12,6.535,554.05
2004,1,16,24,6.47,554.43
