Year,Day,Hour,Minute,proton_density,proton_speed
2021,1,0,0,4.317,367.12
2021,1,0,12,4.648,365.06
2021,1,0,24,4.455,365.9
2021,1,0,36,4.401,362.01
2021,1,0,48,4.535,363.14
2021,1,1,0,3.621,363.53
2021,1,1,12,3.778,362.68
2021,1,1,24,4.079,358.59
2021,1,1,36,4.089,356.2
2021,1,1,48,4.284,358.19
2021,1,2,0,3.858,360.0
2021,1,2,12,4.209,357.57
2021,1,2,24,4.436,359.18
2021,1,2,36,4.524,357.88
2021,1,2,48,4.55,357.34
2021,1,3,0,4.171,358.09
2021,1,3,12,3.893,359.8
2021,1,3,24,4.171,357.24
2021,1,3,36,4.009,357.4
2021,1,3,48,4.369,358.08
2021,1,4,0,4.363,356.05
2021,1,4,12,4.218,356.27
2021,1,4,24,4.244,358.71
2021,1,4,36,3.366,360.3
2021,1,4,48,3.291,361.39
2021,1,5,0,3.372,357.19
2021,1,5,12,3.447,354.14
2021,1,5,24,3.294,353.68
2021,1,5,36,3.305,355.88
2021,1,5,48,3.494,354.99
2021,1,6,0,3.462,356.67
2021,1,6,12,3.632,356.1
2021,1,6,24,3.868,356.07
2021,1,6,36,3.818,357.54
2021,1,6,48,4.399,364.54
2021,1,7,0,5.305,360.86
2021,1,7,12,5.544,357.91
2021,1,7,24,5.684,361.7
2021,1,7,36,5.389,362.73
2021,1,7,48,3.99,360.77
2021,1,8,0,4.865,355.35
2021,1,8,12,4.396,363.71
2021,1,8,24,4.402,364.77
2021,1,8,36,4.72,361.08
2021,1,8,48,5.05,361.65
2021,1,9,0,4.675,361.44
2021,1,9,12,4.742,360.79
2021,1,9,24,4.932,357.28
2021,1,9,36,5.25,353.06
2021,1,9,48,4.861,357.82
2021,1,10,0,4.254,357.05
2021,1,10,12,4.238,356.04
2021,1,10,24,5.129,358.69
2021,1,10,36,4.947,356.67
2021,1,10,48,4.457,353.58
2021,1,11,0,4.748,355.23
2021,1,11,12,4.502,350.28
2021,1,11,24,4.362,348.74
2021,1,11,36,4.312,345.32
2021,1,11,48,4.422,344.21
2021,1,12,0,4.14,345.73
2021,1,12,12,4.007,344.17
2021,1,12,24,4.063,340.91
2021,1,12,36,4.062,339.11
2021,1,12,48,4.239,340.76
2021,1,13,0,4.343,341.63
