Year,Day,Hour,Minute,proton_density,proton_speed
2014,1,0,0,5.679,383.73
2014,1,0,12,5.679,382.74
2014,1,0,24,6.19,376.71
2014,1,0,36,6.508,381.3
2014,1,0,48,5.801,376.08
2014,1,1,0,6.099,372.15
2014,1,1,12,6.027,374.95
2014,1,1,24,5.29,373.28
2014,1,1,36,5.577,369.73
2014,1,1,48,5.75,371.69
2014,1,2,0,5.925,368.07
2014,1,2,12,5.82,371.5
2014,1,2,24,5.879,371.67
2014,1,2,36,5.71,372.68
2014,1,2,48,5.596,373.26
2014,1,3,0,5.709,370.84
2014,1,3,12,5.713,370.31
2014,1,3,24,5.333,373.14
2014,1,3,36,5.852,373.37
2014,1,3,48,6.001,373.03
2014,1,4,0,6.014,369.67
2014,1,4,12,6.144,367.45
2014,1,4,24,5.806,368.9
2014,1,4,36,5.038,370.16
2014,1,4,48,5.17,367.89
2014,1,5,0,5.017,368.9
2014,1,5,12,6.167,372.46
2014,1,5,24,6.146,369.68
2014,1,5,36,6.416,371.43
2014,1,5,48,5.662,370.22
2014,1,6,0,5.807,367.88
2014,1,6,12,5.087,369.19
2014,1,6,24,5.825,367.7
2014,1,6,36,6.136,373.07
2014,1,6,48,5.576,378.62
2014,1,7,0,10.076,381.47
2014,1,7,12,9.246,381.51
2014,1,7,24,10.793,377.2
2014,1,7,36,9.48,375.12
2014,1,7,48,9.79,377.58
2014,1,8,0,10.27,380.05
2014,1,8,12,11.047,382.93
2014,1,8,24,9.04,379.03
2014,1,8,36,17.211,380.64
2014,1,8,48,14.862,383.93
2014,1,9,0,24.432,386.18
2014,1,9,12,25.289,385.88
2014,1,9,24,20.608,384.41
2014,1,9,36,11.674,389.52
2014,1,9,48,16.869,386.15
2014,1,10,0,11.953,397.19
2014,1,10,12,13.913,399.09
2014,1,10,24,17.826,399.24
2014,1,10,36,23.217,408.17
2014,1,10,48,23.765,412.34
2014,1,11,0,16.001,418.44
2014,1,11,12,13.852,420.44
2014,1,11,24,19.12,424.78
2014,1,11,36,21.083,427.52
2014,1,11,48,14.414,417.79
2014,1,12,0,13.888,408.4
2014,1,12,12,10.197,408.25
2014,1,12,24,9.874,413.75
2014,1,12,36,11.197,419.75
2014,1,12,48,10.102,435.98
2014,1,13,0,5.491,438.59
2014,1,13,12,18.513,434.6
2014,1,13,24,9.701,432.1
2014,1,13,36,10.845,440.51
2014,1,13,48,11.067,450.36
2014,1,14,0,8.49,450.37
2014,1,14,12,9.529,444.95
2014,1,14,24,11.968,473.77
2014,1,14,36,6.104,510.38
