Year,Day,Hour,Minute,proton_density,proton_speed
2003,1,0,0,6.467,423.63
2003,1,0,12,6.218,422.24
2003,1,0,24,6.305,427.61
2003,1,0,36,6.456,428.09
2003,1,0,48,6.734,427.53
2003,1,1,0,7.247,428.25
2003,1,1,12,7.348,427.59
2003,1,1,24,7.229,429.86
2003,1,1,36,5.672,411.92
2003,1,1,48,5.192,404.9
2003,1,2,0,5.283,410.33
2003,1,2,12,5.224,406.6
2003,1,2,24,6.622,426.64
2003,1,2,36,5.991,435.16
2003,1,2,48,6.66,437.77
2003,1,3,0,7.237,437.99
2003,1,3,12,6.81,433.66
2003,1,3,24,7.676,426.55
2003,1,3,36,8.047,426.93
2003,1,3,48,8.069,425.52
2003,1,4,0,7.606,422.97
2003,1,4,12,8.127,430.12
2003,1,4,24,7.52,424.21
2003,1,4,36,7.198,423.93
2003,1,4,48,6.598,425.01
2003,1,5,0,6.42,423.39
2003,1,5,12,6.29,418.81
2003,1,5,24,6.346,421.74
2003,1,5,36,6.443,424.57
2003,1,5,48,6.321,419.11
2003,1,6,0,6.277,423.44
2003,1,6,12,6.514,424.31
2003,1,6,24,7.075,427.61
2003,1,6,36,7.169,423.01
2003,1,6,48,6.537,421.62
2003,1,7,0,6.853,421.2
2003,1,7,12,8.023,426.88
2003,1,7,24,7.172,421.83
2003,1,7,36,6.072,421.85
2003,1,7,48,6.235,425.03
2003,1,8,0,6.139,423.16
2003,1,8,12,5.911,410.2
2003,1,8,24,6.372,420.74
2003,1,8,36,5.852,421.63
2003,1,8,48,6.508,421.66
2003,1,9,0,6.373,419.13
2003,1,9,12,6.442,417.31
2003,1,9,24,6.212,415.62
2003,1,9,36,5.769,407.06
2003,1,9,48,6.003,400.6
2003,1,10,0,5.661,393.86
2003,1,10,12,5.662,393.08
2003,1,10,24,4.992,390.73
2003,1,10,36,5.099,395.14
2003,1,10,48,4.937,395.4
2003,1,11,0,4.565,393.49
2003,1,11,12,4.924,393.67
2003,1,11,24,4.819,394.43
2003,1,11,36,4.488,393.47
2003,1,11,48,4.552,392.6
2003,1,12,0,4.275,395.66
2003,1,12,12,4.318,391.54
2003,1,12,24,4.308,388.17
2003,1,12,36,4.281,388.04
2003,1,12,48,5.014,387.03
2003,1,13,0,6.509,386.29
2003,1,13,12,4.298,387.51
2003,1,13,24,2.967,381.15
2003,1,13,36,3.668,380.73
2003,1,13,48,4.165,381.01
2003,1,14,0,3.783,376.02
2003,1,14,12,4.886,378.55
2003,1,14,24,4.554,378.52
2003,1,14,36,5.711,379.89
2003,1,14,48,4.844,379.01
2003,1,15,0,5.447,378.52
2003,1,15,12,6.434,380.25
2003,1,15,24,4.439,384.77
2003,1,15,36,4.741,383.98
2003,1,15,48,7.982,390.89
2003,1,16,0,7.478,405.83
2003,1,16,12,7.613,403.55
2003,1,16,24,7.148,397.91
2003,1,16,36,6.961,394.1
2003,1,16,48,6.001,388.58
2003,1,17,0,5.923,387.08
2003,1,17,12,6.261,380.18
2003,1,17,24,6.071,382.29
2003,1,17,36,5.255,374.68
2003,1,17,48,5.057,375.48
2003,1,18,0,4.666,377.67
2003,1,18,12,7.747,377.66
2003,1,18,24,6.033,398.75
2003,1,18,36,6.296,393.68
2003,1,18,48,5.366,395.05
2003,1,19,0,5.377,391.11
2003,1,19,12,5.941,403.3
2003,1,19,24,5.757,400.42
2003,1,19,36,6.041,394.43
2003,1,19,48,6.351,386.55
2003,1,20,0,6.089,391.68
2003,1,20,12,5.257,390.83
2003,1,20,24,5.29,389.53
2003,1,20,36,5.096,384.31
2003,1,20,48,5.525,391.75
2003,1,21,0,6.41,414.46
2003,1,21,12,6.135,407.4
2003,1,21,24,5.331,398.34
2003,1,21,36,5.165,393.25
2003,1,21,48,5.217,392.0
2003,1,22,0,5.276,394.97
2003,1,22,12,5.31,400.06
2003,1,22,24,5.144,398.2
2003,1,22,36,5.59,397.41
2003,1,22,48,5.356,396.31
2003,1,23,0,4.306,376.49
2003,1,23,12,3.519,377.84
2003,1,23,24,5.186,381.83
2003,1,23,36,4.572,378.56
2003,1,23,48,5.495,382.18
2003,2,0,0,3.992,379.56
2003,2,0,12,3.809,381.5
2003,2,0,24,4.771,383.22
2003,2,0,36,4.396,379.04
2003,2,0,48,4.311,378.52
2003,2,1,0,4.56,378.58
2003,2,1,12,5.163,384.06
2003,2,1,24,5.168,380.2
2003,2,1,36,3.393,371.27
2003,2,1,48,4.692,368.69
2003,2,2,0,3.427,361.22
2003,2,2,12,4.057,364.26
2003,2,2,24,4.183,366.55
2003,2,2,36,4.315,369.07
2003,2,2,48,2.68,365.28
2003,2,3,0,4.677,368.18
2003,2,3,12,3.749,366.26
2003,2,3,24,3.55,361.44
2003,2,3,36,5.104,369.69
2003,2,3,48,5.405,367.13
2003,2,4,0,2.934,357.58
2003,2,4,12,4.462,361.33
2003,2,4,24,5.213,373.38
2003,2,4,36,4.698,380.63
2003,2,4,48,4.416,373.64
2003,2,5,0,4.892,370.31
2003,2,5,12,6.594,371.32
2003,2,5,24,3.677,362.37
2003,2,5,36,3.714,362.45
2003,2,5,48,4.25,366.01
2003,2,6,0,5.573,370.86
2003,2,6,12,-9999.9,364.06
2003,2,6,24,4.32,369.1
2003,2,6,36,3.748,367.79
2003,2,6,48,5.461,360.48
2003,2,7,0,3.696,355.41
2003,2,7,12,3.658,353.68
2003,2,7,24,3.574,364.96
2003,2,7,36,3.907,361.3
2003,2,7,48,4.035,364.79
2003,2,8,0,5.618,372.02
2003,2,8,12,5.128,378.66
2003,2,8,24,5.703,369.82
2003,2,8,36,5.474,377.02
2003,2,8,48,4.929,380.18
2003,2,9,0,4.698,365.11
2003,2,9,12,3.87,357.93
2003,2,9,24,4.581,353.39
2003,2,9,36,5.152,353.01
2003,2,9,48,4.567,354.73
2003,2,10,0,4.116,354.15
2003,2,10,12,4.855,353.88
2003,2,10,24,5.247,355.6
2003,2,10,36,4.582,350.54
2003,2,10,48,4.366,350.19
2003,2,11,0,4.345,347.45
2003,2,11,12,4.899,350.37
2003,2,11,24,5.238,352.13
2003,2,11,36,4.562,363.06
2003,2,11,48,5.051,370.57
2003,2,12,0,3.986,358.9
2003,2,12,12,3.289,358.52
2003,2,12,24,4.373,359.94
2003,2,12,36,4.899,361.03
2003,2,12,48,5.504,371.21
2003,2,13,0,4.557,364.33
2003,2,13,12,5.047,361.7
2003,2,13,24,5.663,366.56
2003,2,13,36,5.116,366.22
2003,2,13,48,4.186,362.84
2003,2,14,0,5.56,365.52
2003,2,14,12,5.482,368.97
2003,2,14,24,5.23,354.5
2003,2,14,36,5.018,355.14
2003,2,14,48,4.403,353.11
2003,2,15,0,5.119,354.76
2003,2,15,12,4.453,351.99
2003,2,15,24,6.331,357.86
2003,2,15,36,6.183,379.11
2003,2,15,48,6.357,368.35
2003,2,16,0,5.501,360.34
2003,2,16,12,5.841,359.88
2003,2,16,24,6.158,370.56
2003,2,16,36,6.22,349.67
2003,2,16,48,5.384,330.62
2003,2,17,0,5.403,332.13
2003,2,17,12,5.769,337.66
2003,2,17,24,5.003,339.78
2003,2,17,36,5.411,343.0
2003,2,17,48,6.194,347.63
2003,2,18,0,5.572,351.75
2003,2,18,12,5.739,353.48
2003,2,18,24,6.353,360.18
2003,2,18,36,7.66,364.78
2003,2,18,48,8.399,368.69
2003,2,19,0,9.56,375.23
2003,2,19,12,10.086,373.37
